术语中心词	知识量	状态	责任人
股骨近端	0		
肌皮神经	0		
臂内侧皮神经	0		
前臂内侧皮神经	0		
肩胛上神经	0		
肩胛下肌	0		
桡骨茎突	0		
尺骨茎突	0		
尺骨头	0		
掌骨颈	0		
桡腕关节	0		
拇指神经	0		
股骨大粗隆	0		
股骨小粗隆	0		
股骨远端	0		
股骨内髁	0		
股骨外髁	0		
股外侧皮神经	0		
股四头肌	0		
腓肠神经	0		
踝三角韧带	0		
跟腓韧带	0		
胫腓远端韧带	0		
跗骨韧带	0		
跗跖韧带	0		
股骨小转子	0		
股骨大转子	0		
肩锁关节	0		
盂肱关节	0		
颞骨乳突	0		
头颈部淋巴结	0		
腰大肌	0		
腰肌	0		
乳突	0		
腹膜后	0		
直肠膀胱隔	0		
阴茎体	0		
海绵体	0		
膀胱三角区	0		
膀胱顶	0		
膀胱侧壁	0		
膀胱前壁	0		
膀胱后壁	0		
膀胱颈	0		
尿道内口	0		
输尿管口	0		
中枢神经系统	0		
小脑蚓部	0		
小脑扁桃体	0		
小脑幕上	0		
小脑幕下	0		
脑白质	0		
下丘脑	0		
鞍区	0		
松果体	0		
节旁体	0		
主动脉体	0		
颞下窝	0		
回盲瓣	0		
阑尾	0		
胸腔	0		
颞骨鳞部	0		
侧窦	0		
眼轮匝肌	0		
上斜肌	0		
下斜肌	0		
喉返神经	0		
枕神经	0		
枕小神经	0		
枕大神经	0		
胸长神经	0		
耳大神经	0		
眼睑肌	0		
外直肌	0		
内直肌	0		
上直肌	0		
下直肌	0		
耳后	0		
耳前	0		
耳垂	0		
C6眼段	0		
眼动脉	0		
垂体上动脉	0		
C7交通段	0		
脉络膜前动脉	0		
C4海绵窦段	0		
迷路动脉	0		
最外囊	0		
内囊	0		
外囊	0		
丘脑膝状动脉	0		
脑干	0		
脑静脉	0		
颈静脉（颅内段）	0		
趾动脉	0		
腹部动脉	0		
肠系膜动脉	0		
胃十二指肠动脉	0		
胰十二指肠上动脉	0		
胃网膜右动脉	0		
胃右动脉	0		
髂内静脉	0		
髂外静脉	0		
腹腔静脉	0		
门静脉	0		
颈内静脉	0		
颈外静脉	0		
椎管内静脉	0		
颞静脉	0		
颈总静脉	0		
十二指肠静脉	0		
腹壁静脉	0		
纵隔	0		
胸壁	0		
右淋巴导管	0		
腭扁桃体	0		
舌扁桃体	0		
声门下	0		
声门上	0		
颌下	0		
颏下	0		
唇	0		
牙龈	0		
十二指肠降部	0		
十二指肠乳头	0		
小肠系膜	0		
膈下	0		
骶前	0		
第一腕掌关节	0		
寰枕关节	0		
寰枢关节	0		
骶髂关节	0		
腰骶关节	0		
齿状突	0		
股四头肌内侧头	0		
射精管	0		
精阜	0		
阴唇	0		
股内收肌	0		
肝门淋巴结	0		
舌淋巴结	0		
鼻咽淋巴结	0		
眉弓	0		
鼻孔	0		
视神经	0		
视交叉	0		
视路	0		
视皮质	0		
眶下神经	0		
喉软骨	0		
环状软骨	0		
棘突	0		
横突	0		
胸骨前区	0		
胸前壁	0		
胸后壁	0		
交感神经干	0		
颈交感神经节	0		
心丛	0		
胸交感神经节	0		
腰交感神经节	0		
骶/尾交感神经节	0		
食管丛	0		
肺丛	0		
星状神经节	0		
肋间动脉	0		
奇静脉	0		
棘上韧带	0		
腹腔交感神经节	0		
腹腔丛	0		
肠系膜下丛	0		
肠系膜上丛	0		
肠系膜丛	0		
内脏神经	0		
骶前静脉丛	0		
肾盏	0		
肾囊	0		
尿道膜部	0		
尿道海绵体部	0		
尿道前列腺部	0		
尿道球部	0		
腹直肌	0		
肩锁关节	0		
肱静脉	0		
腕掌侧韧带	0		
腕背侧韧带	0		
腕横韧带	0		
腕骨间韧带	0		
腕骨关节	0		
腕掌关节	0		
小鱼际肌	0		
掌中间肌	0		
髋关节囊	0		
髂股韧带	0		
耻股韧带	0		
坐股韧带	0		
小腿后部肌群	0		
小腿前部肌群	0		
距腓前韧带	0		
结合膜囊	0		
咽喉	0		
阴茎皮肤	0		
阴囊皮肤	0		
尿道阴道隔	0		
阴唇	0		
胸大肌	0		
结缔组织	0		
软组织	0		
季肋	0		
髂窝	0		
胁腹	0		
胫骨粗隆	0		
颅骨穹隆	0		
颧弓	0		
胁腹	0		
手	0		
股部	0		
髋部	0		
腓部	0		
胫部	0		
腓侧肌	0		
足	0		
眼球	0		
